goodreads_book_id,authors,original_publication_year,original_title,average_rating,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,description,check_alphabet,check_alternate
2767052,Suzanne Collins,2008.0,The Hunger Games,4.34,66715,127936,560092,1481305,2706317,"['In', 'ruins', 'place', 'known', 'North', 'America', 'lies', 'nation', 'Panem', 'shining', 'Capitol', 'surrounded', 'twelve', 'outlying', 'districts', 'The', 'Capitol', 'harsh', 'cruel', 'keeps', 'districts', 'line', 'forcing', 'send', 'one', 'boy', 'one', 'girl', 'ages', 'twelve', 'eighteen', 'participate', 'annual', 'Hunger', 'Games', 'fight', 'death', 'live', 'TV', 'Sixteenyearold', 'Katniss', 'Everdeen', 'lives', 'alone', 'mother', 'younger', 'sister', 'regards', 'death', 'sentence', 'forced', 'represent', 'district', 'Games', 'But', 'Katniss', 'close', 'dead', 'survival', 'second', 'nature', 'Without', 'really', 'meaning', 'becomes', 'contender', 'But', 'win', 'start', 'making', 'choices', 'weigh', 'survival', 'humanity', 'life', 'love']",True,False
3,"J.K. Rowling, Mary GrandPré",1997.0,Harry Potter and the Philosopher's Stone,4.44,75504,101676,455024,1156318,3011543,"['After', 'lifetime', 'bottling', 'magical', 'powers', 'Harry', 'finally', 'feels', 'like', 'normal', 'kid', 'But', 'even', 'within', 'Wizarding', 'community', 'special', 'He', 'boy', 'lived', 'person', 'ever', 'survived', 'killing', 'curse', 'inflicted', 'evil', 'Lord', 'Voldemort', 'launched', 'brutal', 'takeover', 'Wizarding', 'world', 'vanish', 'failing', 'kill', 'Harry']",True,False
2657,Harper Lee,1960.0,To Kill a Mockingbird,4.25,60427,117415,446835,1001952,1714267,"['Compassionate', 'dramatic', 'deeply', 'moving', 'To', 'Kill', 'A', 'Mockingbird', 'takes', 'readers', 'roots', 'human', 'behavior', 'innocence', 'experience', 'kindness', 'cruelty', 'love', 'hatred', 'humor', 'pathos', 'Now', '18', 'million', 'copies', 'print', 'translated', 'forty', 'languages', 'regional', 'story', 'young', 'Alabama', 'woman', 'claims', 'universal', 'appeal', 'Harper', 'Lee', 'always', 'considered', 'book', 'simple', 'love', 'story', 'Today', 'regarded', 'masterpiece', 'American', 'literature']",True,False
11870085,John Green,2012.0,The Fault in Our Stars,4.26,47994,92723,327550,698471,1311871,"['Insightful', 'bold', 'irreverent', 'raw', 'The', 'Fault', 'Our', 'Stars', 'awardwinning', 'author', 'John', 'Greens', 'ambitious', 'heartbreaking', 'work', 'yet', 'brilliantly', 'exploring', 'funny', 'thrilling', 'tragic', 'business', 'alive', 'love']",True,False
5107,J.D. Salinger,1951.0,The Catcher in the Rye,3.79,109383,185520,455042,661516,709176,"['JD', 'Salingers', 'classic', 'novel', 'teenage', 'angst', 'rebellion', 'first', 'published', '1951', 'The', 'novel', 'included', 'Times', '2005', 'list', '100', 'best', 'Englishlanguage', 'novels', 'written', 'since', '1923', 'It', 'named', 'Modern', 'Library', 'readers', 'one', '100', 'best', 'Englishlanguage', 'novels', '20th', 'century', 'It', 'frequently', 'challenged', 'court', 'liberal', 'use', 'profanity', 'portrayal', 'sexuality', '1950s', '60s', 'novel', 'every', 'teenage', 'boy', 'wants', 'read']",True,False
960,Dan Brown,2000.0,Angels & Demons ,3.85,77841,145740,458429,716569,680175,"['Worldrenowned', 'Harvard', 'symbologist', 'Robert', 'Langdon', 'summoned', 'Swiss', 'research', 'facility', 'analyze', 'cryptic', 'symbol', 'seared', 'chest', 'murdered', 'physicist', 'What', 'discovers', 'unimaginable', 'deadly', 'vendetta', 'Catholic', 'Church', 'centuriesold', 'underground', 'organization', 'Illuminati', 'In', 'desperate', 'race', 'save', 'Vatican', 'powerful', 'time', 'bomb', 'Langdon', 'joins', 'forces', 'Rome', 'beautiful', 'mysterious', 'scientist', 'Vittoria', 'Vetra', 'Together', 'embark', 'frantic', 'hunt', 'sealed', 'crypts', 'dangerous', 'catacombs', 'deserted', 'cathedrals', 'depths', 'secretive', 'vault', 'earththe', 'longforgotten', 'Illuminati', 'lairback', 'cover']",True,False
13335037,Veronica Roth,2011.0,Divergent,4.24,36315,82870,310297,673028,1114304,"['During', 'highly', 'competitive', 'initiation', 'follows', 'Beatrice', 'renames', 'Tris', 'struggles', 'alongside', 'fellow', 'initiates', 'live', 'choice', 'made', 'Together', 'must', 'undergo', 'extreme', 'physical', 'tests', 'endurance', 'intense', 'psychological', 'simulations', 'devastating', 'consequences', 'As', 'initiation', 'transforms', 'Tris', 'must', 'determine', 'friends', 'really', 'are—and', 'exactly', 'romance', 'sometimes', 'fascinating', 'sometimes', 'exasperating', 'boy', 'fits', 'life', 'shes', 'chosen', 'But', 'Tris', 'also', 'secret', 'one', 'shes', 'kept', 'hidden', 'everyone', 'shes', 'warned', 'mean', 'death', 'And', 'discovers', 'unrest', 'growing', 'conflict', 'threaten', 'unravel', 'seemingly', 'perfect', 'society', 'also', 'learns', 'secret', 'might', 'help', 'save', 'loves', 'might', 'destroy']",True,False
5470,"George Orwell, Erich Fromm, Celâl Üster",1949.0,Nineteen Eighty-Four,4.14,41845,86425,324874,692021,908229,"['The', 'year', '1984', 'come', 'gone', 'George', 'Orwells', 'prophetic', 'nightmarish', 'vision', '1949', 'world', 'becoming', 'timelier', 'ever', '1984', 'still', 'great', 'modern', 'classic', 'negative', 'utopia—a', 'startlingly', 'original', 'haunting', 'novel', 'creates', 'imaginary', 'world', 'completely', 'convincing', 'first', 'sentence', 'last', 'four', 'words', 'No', 'one', 'deny', 'novels', 'hold', 'imaginations', 'whole', 'generations', 'power', 'admonitions—a', 'power', 'seems', 'grow', 'lessen', 'passage', 'time']",True,False
7613,George Orwell,1945.0,Animal Farm: A Fairy Story,3.87,66854,135147,433432,698642,648912,"['“', 'All', 'animals', 'equal', 'animals', 'equal', 'others', '”']",True,False
48855,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947.0,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,4.1,45225,91270,355756,656870,875372,"['In', '1942', 'Nazis', 'occupying', 'Holland', 'thirteenyearold', 'Jewish', 'girl', 'family', 'fled', 'home', 'Amsterdam', 'went', 'hiding', 'For', 'next', 'two', 'years', 'whereabouts', 'betrayed', 'Gestapo', 'Franks', 'another', 'family', 'lived', 'cloistered', '“', 'Secret', 'Annexe', '”', 'old', 'office', 'building', 'Cut', 'outside', 'world', 'faced', 'hunger', 'boredom', 'constant', 'cruelties', 'living', 'confined', 'quarters', 'everpresent', 'threat', 'discovery', 'death', 'In', 'diary', 'Anne', 'Frank', 'recorded', 'vivid', 'impressions', 'experiences', 'period', 'By', 'turns', 'thoughtful', 'moving', 'surprisingly', 'humorous', 'account', 'offers', 'fascinating', 'commentary', 'human', 'courage', 'frailty', 'compelling', 'selfportrait', 'sensitive', 'spirited', 'young', 'woman', 'whose', 'promise', 'tragically', 'cut', 'short']",True,False
