goodreads_book_id,authors,original_publication_year,original_title,average_rating,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5
2767052,Suzanne Collins,2008.0,The Hunger Games,4.34,66715,127936,560092,1481305,2706317
3,"J.K. Rowling, Mary GrandPré",1997.0,Harry Potter and the Philosopher's Stone,4.44,75504,101676,455024,1156318,3011543
41865,Stephenie Meyer,2005.0,Twilight,3.57,456191,436802,793319,875073,1355439
2657,Harper Lee,1960.0,To Kill a Mockingbird,4.25,60427,117415,446835,1001952,1714267
4671,F. Scott Fitzgerald,1925.0,The Great Gatsby,3.89,86236,197621,606158,936012,947718
11870085,John Green,2012.0,The Fault in Our Stars,4.26,47994,92723,327550,698471,1311871
5907,J.R.R. Tolkien,1937.0,The Hobbit or There and Back Again,4.25,46023,76784,288649,665635,1119718
5107,J.D. Salinger,1951.0,The Catcher in the Rye,3.79,109383,185520,455042,661516,709176
960,Dan Brown,2000.0,Angels & Demons ,3.85,77841,145740,458429,716569,680175
1885,Jane Austen,1813.0,Pride and Prejudice,4.24,54700,86485,284852,609755,1155673
77203,Khaled Hosseini,2003.0,The Kite Runner ,4.26,34288,59980,226062,628174,929591
13335037,Veronica Roth,2011.0,Divergent,4.24,36315,82870,310297,673028,1114304
5470,"George Orwell, Erich Fromm, Celâl Üster",1949.0,Nineteen Eighty-Four,4.14,41845,86425,324874,692021,908229
7613,George Orwell,1945.0,Animal Farm: A Fairy Story,3.87,66854,135147,433432,698642,648912
48855,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947.0,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,4.1,45225,91270,355756,656870,875372
2429135,"Stieg Larsson, Reg Keeland",2005.0,Män som hatar kvinnor,4.11,54835,86051,285413,667485,836050
6148028,Suzanne Collins,2009.0,Catching Fire,4.3,10492,48030,262010,687238,980309
5,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0,Harry Potter and the Prisoner of Azkaban,4.53,6716,20413,166129,509447,1266670
34,J.R.R. Tolkien,1954.0, The Fellowship of the Ring,4.34,38031,55862,202332,493922,1042394
7260188,Suzanne Collins,2010.0,Mockingjay,4.03,30144,110498,373060,618271,738775
2,"J.K. Rowling, Mary GrandPré",2003.0,Harry Potter and the Order of the Phoenix,4.46,9528,31577,180210,494427,1124806
12232938,Alice Sebold,2002.0,The Lovely Bones,3.77,62777,131188,404699,583575,479323
15881,"J.K. Rowling, Mary GrandPré",1998.0,Harry Potter and the Chamber of Secrets,4.37,8253,42251,242345,548266,1065084
6,"J.K. Rowling, Mary GrandPré",2000.0,Harry Potter and the Goblet of Fire,4.53,6676,20210,151785,494926,1195045
136251,"J.K. Rowling, Mary GrandPré",2007.0,Harry Potter and the Deathly Hallows,4.61,9363,22245,113646,383914,1318227
968,Dan Brown,2003.0,The Da Vinci Code,3.79,71345,126493,340790,539277,479387
1,"J.K. Rowling, Mary GrandPré",2005.0,Harry Potter and the Half-Blood Prince,4.54,7308,21516,136333,459028,1161491
7624,William Golding,1954.0,Lord of the Flies ,3.64,92779,160295,425648,564916,427846
18135,"William Shakespeare, Robert           Jackson",1595.0,An Excellent conceited Tragedie of Romeo and Juliet,3.73,57980,153179,452673,519822,489235
8442457,Gillian Flynn,2012.0,Gone Girl,4.03,38874,80807,280331,616031,610476
4667024,Kathryn Stockett,2009.0,The Help,4.45,10235,25117,134887,490754,942552
890,John Steinbeck,1937.0,Of Mice and Men ,3.84,46630,110856,355169,532291,473795
930,Arthur Golden,1997.0,Memoirs of a Geisha,4.08,23500,59033,258700,517157,559782
10818853,E.L. James,2011.0,Fifty Shades of Grey,3.67,165455,152293,252185,294976,571909
865,"Paulo Coelho, Alan R. Clarke",1988.0,O Alquimista,3.82,74846,123614,289143,412180,504212
3636,Lois Lowry,1993.0,The Giver,4.12,26497,59652,225326,448691,585279
100915,C.S. Lewis,1950.0,"The Lion, the Witch and the Wardrobe",4.19,19309,55542,262038,513366,734629
14050,Audrey Niffenegger,2003.0,The Time Traveler's Wife,3.95,44339,85429,257805,427210,493884
13496,George R.R. Martin,1996.0,A Game of Thrones,4.45,19988,28983,114092,404583,874574
19501,Elizabeth Gilbert,2006.0,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",3.51,100373,149549,310212,332191,314272
28187,Rick Riordan,2005.0,The Lightning Thief,4.23,18303,48294,219638,435514,689365
1934,Louisa May Alcott,1868.0,Little Women,4.04,31645,70011,250794,426280,535563
10210,"Charlotte Brontë, Michael Mason",1847.0,Jane Eyre,4.1,35132,64274,212294,400214,574221
15931,Nicholas Sparks,1996.0,The Notebook,4.06,41395,63432,176469,298259,497194
4214,Yann Martel,2001.0,Life of Pi,3.88,39768,74331,218702,384164,360466
43641,Sara Gruen,2006.0,Water for Elephants,4.07,16705,49832,200154,417328,424820
19063,Markus Zusak,2005.0,The Book Thief,4.36,17892,35360,135272,377218,722056
4381,Ray Bradbury,1953.0,Fahrenheit 451,3.97,28366,64289,238242,426292,419051
49041,Stephenie Meyer,2006.0,"New Moon (Twilight, #2)",3.52,102837,160660,294207,290612,350684
30119,Shel Silverstein,1974.0,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,4.29,16590,30792,139024,293222,544153
256683,Cassandra Clare,2007.0,City of Bones,4.12,34122,65349,203466,356048,582814
428263,Stephenie Meyer,2007.0,Eclipse,3.69,83094,124293,260763,309358,399134
113436,Christopher Paolini,2002.0,Eragon,3.86,50563,88536,240157,337943,408032
11,Douglas Adams,1979.0,The Hitchhiker's Guide to the Galaxy,4.2,21764,41962,145173,299579,498001
5129,Aldous Huxley,1932.0,Brave New World,3.97,26367,60328,219895,389379,383166
1162543,Stephenie Meyer,2008.0,Breaking Dawn,3.7,100994,114893,213402,267706,410714
37435,Sue Monk Kidd,2001.0,The Secret Life of Bees,4.01,17500,45455,185631,347540,341267
2956,"Mark Twain, John Seelye, Guy Cardwell",1884.0,The Adventures of Huckleberry Finn,3.8,28467,76630,255722,344356,296316
24178,"E.B. White, Garth Williams, Rosemary Wells",1952.0,Charlotte's Web,4.15,18450,41124,191415,346090,487763
1618,Mark Haddon,2003.0,The Curious Incident of the Dog in the Night-Time,3.85,21049,58117,218218,355925,262481
22557272,Paula Hawkins,2015.0,The Girl on the Train,3.88,27773,73897,273817,488447,362551
119322,Philip Pullman,1995.0,Northern Lights,3.94,38382,64591,198764,313147,380030
